ORDERNUMBER,PRODUCTCODE,customerID,dateID,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES
10107,S10_1678,1,20030224,30,95.7,2,2871.0
10121,S10_1678,2,20030507,34,81.35,5,2765.9
10134,S10_1678,3,20030701,41,94.74,2,3884.34
10145,S10_1678,4,20030825,45,83.26,6,3746.7
10159,S10_1678,5,20031010,49,100.0,14,5205.27
10168,S10_1678,6,20031028,36,96.66,1,3479.76
10180,S10_1678,7,20031111,29,86.13,9,2497.77
10188,S10_1678,8,20031118,48,100.0,1,5512.32
10201,S10_1678,9,20031201,22,98.57,2,2168.54
10211,S10_1678,10,20040115,41,100.0,14,4708.44
10223,S10_1678,11,20040220,37,100.0,1,3965.66
10237,S10_1678,12,20040405,23,100.0,7,2333.12
10251,S10_1678,13,20040518,28,100.0,2,3188.64
10263,S10_1678,14,20040628,34,100.0,2,3676.76
10275,S10_1678,15,20040723,45,92.83,1,4177.35
10285,S10_1678,16,20040827,36,100.0,6,4099.68
10299,S10_1678,17,20040930,23,100.0,9,2597.39
10309,S10_1678,18,20041015,41,100.0,5,4394.38
10318,S10_1678,19,20041102,46,94.74,1,4358.04
10329,S10_1678,20,20041115,42,100.0,1,4396.14
10341,S10_1678,21,20041124,41,100.0,9,7737.93
10361,S10_1678,22,20041217,20,72.55,13,1451.0
10375,S10_1678,23,20050203,21,34.91,12,733.11
10388,S10_1678,24,20050303,42,76.36,4,3207.12
10403,S10_1678,25,20050408,24,100.0,7,2434.56
10417,S10_1678,26,20050513,66,100.0,2,7516.08
10103,S10_1949,27,20030129,26,100.0,11,5404.62
10112,S10_1949,28,20030324,29,100.0,1,7209.11
10126,S10_1949,29,20030528,38,100.0,11,7329.06
10140,S10_1949,30,20030724,37,100.0,11,7374.1
10150,S10_1949,31,20030919,45,100.0,8,10993.5
10163,S10_1949,32,20031020,21,100.0,1,4860.24
10174,S10_1949,33,20031106,34,100.0,4,8014.82
10183,S10_1949,34,20031113,23,100.0,8,5372.57
10194,S10_1949,35,20031125,42,100.0,11,7290.36
10206,S10_1949,36,20031205,47,100.0,6,9064.89
10215,S10_1949,37,20040129,35,100.0,3,6075.3
10228,S10_1949,38,20040310,29,100.0,2,6463.23
10245,S10_1949,39,20040504,34,100.0,9,6120.34
10258,S10_1949,40,20040615,32,100.0,6,7680.64
10270,S10_1949,41,20040719,21,100.0,9,4905.39
10280,S10_1949,42,20040817,34,100.0,2,8014.82
10291,S10_1949,43,20040908,37,100.0,11,7136.19
10304,S10_1949,44,20041011,47,100.0,6,10172.7
10312,S10_1949,45,20041021,48,100.0,3,11623.7
10322,S10_1949,46,20041104,40,100.0,1,6000.4
10333,S10_1949,47,20041118,26,100.0,3,3003.0
10347,S10_1949,48,20041129,30,100.0,1,3944.7
10357,S10_1949,49,20041210,32,100.0,10,5691.84
10369,S10_1949,50,20050120,41,100.0,2,4514.92
10381,S10_1949,51,20050217,36,100.0,3,8254.8
10391,S10_1949,52,20050309,24,100.0,4,2416.56
10411,S10_1949,53,20050501,23,100.0,9,4140.23
10424,S10_1949,54,20050531,50,100.0,6,12001.0
10107,S10_2016,55,20030224,39,99.91,5,3896.49
10120,S10_2016,56,20030429,29,96.34,3,2793.86
10134,S10_2016,57,20030701,27,100.0,5,3307.77
10145,S10_2016,58,20030825,37,100.0,9,5192.95
10159,S10_2016,59,20031010,37,100.0,17,5016.83
10168,S10_2016,60,20031028,27,100.0,4,3660.93
10180,S10_2016,61,20031111,42,100.0,12,4695.6
10188,S10_2016,62,20031118,38,96.34,4,3660.92
10201,S10_2016,63,20031201,24,100.0,5,3025.92
10210,S10_2016,64,20040112,23,100.0,2,3009.09
10223,S10_2016,65,20040220,47,100.0,4,5422.39
