customerID,CUSTOMERNAME,ADDRESSLINE1,CITY,STATE,POSTALCODE,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME
1,Land of Toys Inc.,897 Long Airport Avenue,NYC,NY,10022,USA,Yu,Kwai
2,Reims Collectables,59 rue de l'Abbaye,Reims,,51100,France,Henriot,Paul
3,Lyon Souveniers,27 rue du Colonel Pierre Avia,Paris,,75508,France,Da Cunha,Daniel
4,Toys4GrownUps.com,78934 Hillside Dr.,Pasadena,CA,90003,USA,Young,Julie
5,Corporate Gift Ideas Co.,7734 Strong St.,San Francisco,CA,28034,USA,Brown,Julie
6,Technics Stores Inc.,9408 Furth Circle,Burlingame,CA,94217,USA,Hirano,Juri
7,Daedalus Designs Imports,"184, chausse de Tournai",Lille,,59000,France,Rance,Martine
8,Herkku Gifts,"Drammen 121, PR 744 Sentrum",Bergen,,N 5804,Norway,Oeztan,Veysel
9,Mini Wheels Co.,5557 North Pendale Street,San Francisco,CA,28034,USA,Murphy,Julie
10,Auto Canal Petit,"25, rue Lauriston",Paris,,75016,France,Perrier,Dominique
11,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Victoria,3004,Australia,Ferguson,Peter
12,Vitachrome Inc.,2678 Kingston Rd.,NYC,NY,10022,USA,Frick,Michael
13,Tekni Collectables Inc.,7476 Moss Rd.,Newark,NJ,94019,USA,Brown,William
14,Gift Depot Inc.,25593 South Bay Ln.,Bridgewater,CT,97562,USA,King,Julie
15,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,,44000,France,Labrune,Janine
16,Marta's Replicas Co.,39323 Spinnaker Dr.,Cambridge,MA,51247,USA,Hernandez,Marta
17,"Toys of Finland, Co.",Keskuskatu 45,Helsinki,,21240,Finland,Karttunen,Matti
18,Baane Mini Imports,Erling Skakkes gate 78,Stavern,,4110,Norway,Bergulfsen,Jonas
19,Diecast Classics Inc.,7586 Pompton St.,Allentown,PA,70267,USA,Yu,Kyung
20,Land of Toys Inc.,897 Long Airport Avenue,NYC,NY,10022,USA,Yu,Kwai
21,Salzburg Collectables,Geislweg 14,Salzburg,,5020,Austria,Pipps,Georg
22,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,2067,Australia,Huxley,Adrian
23,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,,44000,France,Labrune,Janine
24,FunGiftIdeas.com,1785 First Street,New Bedford,MA,50553,USA,Benitez,Violeta
25,"UK Collectables, Ltd.",Berkeley Gardens 12  Brewery,Liverpool,,WX1 6LT,UK,Devon,Elizabeth
26,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,,28034,Spain,Freyre,Diego
27,Baane Mini Imports,Erling Skakkes gate 78,Stavern,,4110,Norway,Bergulfsen,Jonas
28,"Volvo Model Replicas, Co",Berguvsv„gen  8,Lule,,S-958 22,Sweden,Berglund,Christina
29,"Corrida Auto Replicas, Ltd","C/ Araquil, 67",Madrid,,28023,Spain,Sommer,Mart¡n
30,Technics Stores Inc.,9408 Furth Circle,Burlingame,CA,94217,USA,Hirano,Juri
31,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,,79903,Singapore,Natividad,Eric
32,Classic Legends Inc.,5905 Pompton St.,NYC,NY,10022,USA,Hernandez,Maria
33,"Australian Gift Network, Co",31 Duncan St. West End,South Brisbane,Queensland,4101,Australia,Calaghan,Tony
34,"Classic Gift Ideas, Inc",782 First Street,Philadelphia,PA,71270,USA,Cervantes,Francisca
35,"Saveley & Henriot, Co.","2, rue du Commerce",Lyon,,69004,France,Saveley,Mary
36,Canadian Gift Exchange Network,1900 Oak St.,Vancouver,BC,V3F 2K1,Canada,Tannamuri,Yoshi
37,West Coast Collectables Co.,3675 Furth Circle,Burbank,CA,94019,USA,Thompson,Steve
38,Cambridge Collectables Co.,4658 Baden Av.,Cambridge,MA,51247,USA,Tseng,Kyung
39,Super Scale Inc.,567 North Pendale Street,New Haven,CT,97823,USA,Murphy,Leslie
40,"Tokyo Collectables, Ltd",2-2-8 Roppongi,Minato-ku,Tokyo,106-0032,Japan,Shimamura,Akiko
41,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,2067,Australia,Huxley,Adrian
42,Amica Models & Co.,Via Monte Bianco 34,Torino,,10100,Italy,Accorti,Paolo
43,Scandinavian Gift Ideas,?kergatan 24,Boras,,S-844 67,Sweden,Larsson,Maria
44,Auto Assoc. & Cie.,"67, avenue de l'Europe",Versailles,,78000,France,Tonini,Daniel
45,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,CA,97562,USA,Nelson,Valarie
46,Online Diecast Creations Co.,2304 Long Airport Avenue,Nashua,NH,62005,USA,Young,Valarie
47,Mini Wheels Co.,5557 North Pendale Street,San Francisco,CA,28034,USA,Murphy,Julie
48,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Victoria,3004,Australia,Ferguson,Peter
49,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,CA,97562,USA,Nelson,Valarie
50,Collectables For Less Inc.,7825 Douglas Av.,Brickhaven,MA,58339,USA,Nelson,Allen
51,Corporate Gift Ideas Co.,7734 Strong St.,San Francisco,CA,28034,USA,Brown,Julie
52,"Anna's Decorations, Ltd",201 Miller Street,North Sydney,NSW,2060,Australia,O'Hara,Anna
53,Quebec Home Shopping Network,43 rue St. Laurent,Montreal,Quebec,H1J 1C3,Canada,Fresnisre,Jean
54,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,,28034,Spain,Freyre,Diego
55,Land of Toys Inc.,897 Long Airport Avenue,NYC,NY,10022,USA,Yu,Kwai
56,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Victoria,3004,Australia,Ferguson,Peter
57,Lyon Souveniers,27 rue du Colonel Pierre Avia,Paris,,75508,France,Da Cunha,Daniel
58,Toys4GrownUps.com,78934 Hillside Dr.,Pasadena,CA,90003,USA,Young,Julie
59,Corporate Gift Ideas Co.,7734 Strong St.,San Francisco,CA,28034,USA,Brown,Julie
